电影名,链接,上映时间,类型,时长,评分,语言,导演,作者,slogan,简介
后室,https://www.themoviedb.org/movie/1083381-backrooms,2026-06-18,"恐怖,悬疑,科幻",111,71,英语,凯恩·帕森斯,Will Soodik,See how far it goes.,一位心理治疗师的病人，在一次诡异的事故中“切入”到了一个超越现实的奇异维度。为了带回病人，这位治疗师不得不亲自踏入那片无边无际、充满黄色壁纸和嗡嗡荧光灯响声的未知迷宫。
妇女乐园,https://www.themoviedb.org/movie/47612-au-bonheur-des-dames,1930-07-03,"剧情,爱情",85,63,法语,朱利安·杜维威尔,,,"Denise, an orphaned girl, moves to Paris where she hopes to find work at her uncle's store. But the glamorous department store 'Aux Bonheur des Dames' across the street crushes all the little businesses around. She finds a position there."
蜘蛛侠：英雄归来,https://www.themoviedb.org/movie/315635-spider-man-homecoming,2017-07-06,"动作,冒险,科幻",133,73,英语,乔恩·沃茨,,势不可挡,彼得·帕克（汤姆·赫兰德 Tom Holland 饰）在内战后受到了钢铁侠托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）的赏识，表面上，彼得进入托尼的公司成为了一名实习生，实际上，他和复仇者联盟的成员们一起接受了各种各样的训练。托尼虽然欣赏彼得的勇敢和正直，却并不认为他目前已经拥有加入复联的实力，他派出了特工哈皮（乔恩·费儒 Jon Favreau 饰）暗中观察，这让十分想证明自己的彼得感到万分焦躁。在对付两个银行劫匪的过程中，彼得发现劫匪们使用的是一种前所未见的新型武器，他孤身一人深入敌后顺藤摸瓜找到了幕后主使秃鹰（迈克尔·基顿 Michael Keaton 饰），让他彼得没有想到的是，秃鹰竟然是他爱慕的女生利兹（劳拉·海瑞尔 Laura Harrier 饰）的父亲。
云雨教堂,https://www.themoviedb.org/movie/82976-les-novices,1970-10-28,"喜剧,剧情",91,48,法语,Guy Casaril,"Guy Casaril,保罗·热戈夫",,"Sister Agnès runs away from her convent in Brittany and seeks refuge in Paris with prostitute Mona Lisa. With absolutely no qualifications, the young novice has a hard job finding work, so Mona Lisa tries to teach her the ropes of the oldest profession of them all!"
蜘蛛侠,https://www.themoviedb.org/movie/557-spider-man,2002-05-03,"动作,科幻",121,73,英语,山姆·雷米,,能力越大 责任越大,彼得·帕克只是美国一个平凡的高中生，当他被蜘蛛博物馆偷跑出来的变种蜘蛛咬了一口之后，彼得的生活彻底改变了。他变得和蜘蛛一样，拥有各种蜘蛛特有的超能力：从手指喷出粘力极强的蜘蛛丝、飞檐走壁等等。彼得兴奋异常，开始利用自己的超能力去赚钱。但当他最爱的叔叔被自己放走的罪犯杀死后，彼得发誓要用自己的超能力去打击犯罪。彼得好友哈利的父亲诺曼是一家生物科技公司的老板，因自己公司生产的飞行器没得到军方首脑赏识而苦恼不堪。一次意外诺曼吸入神经毒气而具有了超能力，引发了自身邪恶的本性，骑着自己研发的飞行器去到处破坏、杀人。彼得化身的蜘蛛侠开始出击了！
安昂传奇：最后的气宗,https://www.themoviedb.org/movie/980431-avatar-aang-the-last-airbender,2026-07-24,"动画,动作,冒险,奇幻",99,93,英语,劳伦·蒙哥马利,,The legacy reawakens.,派拉蒙和尼克宣布“降世神通”系列开发三部新的电影，仍是动画形式。第一部由《降世神通：最后的气宗》导演Lauren Montgomery执导，《最后的气宗》主创Bryan Konietzko和Michael DiMartino担任制片人。
群体,https://www.themoviedb.org/movie/1375646,2026-05-27,"动作,恐怖,科幻",123,81,朝鲜语,延尚昊,"延尚昊,Choi Gyu-seok",Survive the hive.,因不明感染事件被封锁在一栋大楼内的幸存者们，与以不可预测形态进化的感染者展开殊死搏斗。随着感染不断扩散，幸存者被迫在有限空间中寻找生路，同时面对越来越聪明、越来越危险的感染者。全智贤在片中饰演生命工程学教授兼幸存者领袖权世贞。她不仅要带领众人逃出生天，更试图破解感染者不断进化的规律，在绝境中寻找唯一的生机。  如果说《釜山行》让观众见识了高速奔袭的感染者，那么延尚昊导演的新作《群体》，则把恐惧再次升级。影片于2026年5月21日在韩国上映，仅4天突破100万观影人次，随后迅速突破500万人次，不仅成功跨越损益平衡点，也成为今年韩国最具话题性的商业电影之一。彻底颠覆了传统丧尸设定。电影中的感染者不再只是凭本能行动，而是会不断进化，并逐渐形成拥有群体智慧（Hive Mind）”的全新生命体。他们会集结、协同行动，甚至能够根据环境不断改变攻击方式，让每一次逃亡都充满未知。
鬼玩人：炼狱,https://www.themoviedb.org/movie/1212763-evil-dead-burn,2026-07-09,"恐怖,惊悚",110,79,英语,Sébastien Vaniček,"Sébastien Vaniček,Florent Bernard",Every family has its demons.,爱丽丝在丈夫骤然离世后深陷悲痛，受邀前往公婆的乡间庄园暂住，试图和丈夫的家人互相慰藉，一同走出丧亲的阴霾。可入住没多久，诡异状况便接连爆发，庄园里怪事频发，身边的亲人举止日渐反常。很快，恶灵诅咒席卷整座宅邸，身边的人一个接一个被侵蚀异化，变成面目焦黑、嗜血狂暴的死徒。她逐渐发现，当年婚礼上许下的婚姻誓言并未随丈夫的死亡消散，反而成了缠绕整个家族的恶灵契约。被困在庄园里的她，必须在亲人彻底沦陷前，在遍地死徒的绝境里拼杀求生。
惊声尖笑6,https://www.themoviedb.org/movie/1273221-scary-movie,2026-06-04,喜剧,96,65,英语,Michael Tiddes,"马龙·韦恩斯,肖恩·韦恩斯,Craig Wayans,基能·艾沃里·韦恩斯,Rick Alvarez",每一条界线都将被逾越,在逃离那个似曾相识的面具杀手二十六年后，核心四人组再度成为猎杀目标，而这一次，所有恐怖电影IP都将无一幸免。
利未记,https://www.themoviedb.org/movie/1564614-leviticus,2026-06-18,"恐怖,爱情",88,64,英语,Adrian Chiarella,Adrian Chiarella,It will never stop.,两个相爱却命运多舛的男孩，被一个暴力的存在所纠缠。这个存在会以他们最想要见到的人，也就是彼此的模样出现。在澳大利亚维多利亚州一座闭塞保守、被极端基督教教义牢牢束缚的乡村小镇，少年纳伊姆对同龄男孩莱恩萌生了隐秘的爱慕，两人悄悄发展出一段禁忌恋情。一次偶然，纳伊姆撞见莱恩和牧师的儿子亨特私下幽会，嫉妒与内心压抑的自我厌恶驱使他揭发了这件事。牧师一家随即请来所谓“救赎疗愈师”，对三个孩子施行残酷的矫正驱魔仪式，试图抹除他们的同性欲望。这场扭曲的宗教仪式非但没有达成目的，反而意外召唤出了一只邪恶魔物。这个恶灵拥有特殊的变形能力，会化作每个人心底最渴望之人的样貌，一旦角色屈从于内心的情愫，就会立刻遭到恶灵暴力追杀。纳伊姆必须一边直面自己犯下的过错，一边和莱恩联手对抗无孔不入的恶灵，同时还要对抗整个小镇充满偏见与敌意的宗教环境，在肉体与精神的双重绝境里求生赎罪。
鬼灭之刃：无限城篇 第一章 猗窝座再袭,https://www.themoviedb.org/movie/1311031,2025-08-14,"动画,动作,奇幻",155,86,日语,外崎春雄,,It's time to have some fun.,当鬼杀队的成员和柱之人在为即将到来的与鬼的战斗做准备，完成共同的体能训练——柱之训练时，鬼舞辻无惨在产屋敷宅邸出现。由于鬼杀队的主公处于危险之中，炭治郎和柱急忙赶往总部，但却被鸣女推入一个神秘的异空间。炭治郎和鬼杀队的目标是鬼的堡垒——无限城。因此，鬼杀队和鬼之间的最终战斗的战场已经准备就绪。
灵魂伴侣,https://www.themoviedb.org/movie/1307118-soulm8te,2026-08-01,"恐怖,科幻,惊悚",120,66,英语,Kate Dolan,,You can't turn off the power of love.,又名：《梅根》宇宙外传 / 夺魂伴侣。 一名男子获得了一个人工智能机器人，以应对刚刚去世的妻子的去世。 为了创造一个真正有知觉的伴侣，他无意中把一个无害的爱情机器人变成了一个致命的灵魂伴侣。
挽救计划,https://www.themoviedb.org/movie/687163-project-hail-mary,2026-03-19,"科幻,冒险",157,87,英语,"菲尔·洛德,克里斯托弗·米勒",,信念是暗夜唯一的光,太阳正在被“吃”掉，绝望吞噬着地球。一名“平凡”的中学教师背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜题，寻回唯一的希望火种？
末路讨债人,https://www.themoviedb.org/movie/1630409,2026-07-23,"动作,惊悚,犯罪",134,77,泰语,Surapong Ploensang,,"A Debt Can Be Settled, But Not Erased.",出狱后饱受内疚折磨的前讨债人，与绝症赛跑，重返昔日世界，为高利贷受害者复仇。 纳姆曾经是黑帮手下心狠手辣的专职讨债人，因为过往犯下的暴力罪行入狱服刑。刑满出狱后他想要彻底隐姓埋名赎罪，却被确诊绝症，生命只剩下很短的时间。就在他打算安静走完余生时，他从前所在的高利贷组织愈发肆无忌惮，暴力欺压底层欠债平民，甚至残害无辜受害者。背负深重愧疚、又只剩有限寿命的纳姆不再选择逃避，孤身重新踏入曼谷黑暗的地下江湖。这一次他不再为黑帮催债牟利，而是向作恶的黑恶势力举起武器，一边为曾经被自己伤害过的人弥补过错，一边拯救正在遭受压榨的普通人，在复仇、正义与自我救赎之间挣扎，在曼谷雨夜与河畔展开一场不计生死的清算之战。
边界线,https://www.themoviedb.org/movie/1727780-borderline,2026-07-17,惊悚,94,59,英语,Ryan Jordan,Jeff Cohen,,一伙擅自行动的美国特工坚信自己是国家隐秘救星，他们绑架墨西哥黑帮成员，将这批人分散投放到美国各大城市。此举引发大规模犯罪骚乱，特工们刻意煽动本土排外偏见、左右选民立场；流血冲突持续升级，民主体系岌岌可危，执法部门必须争分夺秒，揭穿这场惊天阴谋。
穿普拉达的女王2,https://www.themoviedb.org/movie/1314481-the-devil-wears-prada-2,2026-04-30,"喜剧,剧情",119,71,英语,大卫·弗兰克尔,艾琳·布罗什·麦肯纳,Icons reign forever.,随着传统出版业的式微，时尚女王米兰达在职业生涯中迎来新挑战。她不得不与手握广告预算的曾经的助理，如今已是奢侈品牌集团高管的艾米莉正面交锋。两人在行业变局中展开了一场关乎权力与生存的较量。
深海魅影,https://www.themoviedb.org/movie/1110034-kraken,2026-02-06,"恐怖,动作,惊悚",94,63,书面挪威语,Pål Øie,"Kjersti Helen Rasmussen,Vilde Eide,Natasha Arthur",Only 5% of the ocean has been explored for a reason…,在挪威壮丽的深峡湾畔，宁静的小渔村维加斯发生了一系列令人匪夷所思的事件。海洋生物学家约翰娜正在当地的鱼场进行一项常规科研项目，起初完全沉浸在这片世外桃源的自然美景中。然而，这份宁静被骤然打破：两名当地青少年相继离奇死亡，整个村庄陷入前所未有的恐慌与猜疑之中。随着调查的深入，约翰娜发现所有迹象都指向峡湾那深不见底的黑暗水域。她凭借专业知识和设备进行探测，最终揭示了令人窒息的真相！
菲律宾恐怖故事17,https://www.themoviedb.org/movie/1510795-shake-rattle-roll-evil-origins,2026-07-30,恐怖,148,30,塔加洛语,"Shugo Praico,Ian Loreños,Joey De Guzman","Onay Sales-Camero,Alex Castor,Gina Marissa Tagasa-Gil",,1775年，古老修道院的回廊里恶灵潜藏，血腥诅咒悄然蔓延，修女们接连坠入死亡深渊；2025年万圣节狂欢夜，面具杀手突袭街头，热闹派对秒变屠宰场，人人沦为待宰猎物；2050年末世废土，怪物横行开启末日启示录，幸存者在废墟中拼死求生。作为系列第17部，本片以三段跨越百年的恐怖故事，串联起一场永不停歇的邪恶轮回，每一轮循环，都是直戳骨髓的惊悚暴击。
蜘蛛侠：英雄远征,https://www.themoviedb.org/movie/429617-spider-man-far-from-home,2019-07-02,"动作,冒险,科幻",127,74,英语,乔恩·沃茨,克里斯·麦肯纳,劫后重生 决战千里,在与灭霸史诗般的终局之战结束后，地球似乎暂时回归和平。彼得（汤姆·赫兰德 Tom Holland 饰）回到了校园生活之中，他和好友相谈甚欢，并且有了心仪的女孩，然而内心最深处依然放不下对钢铁侠的追悼缅怀。去往欧洲游学的路上，彼得试图找机会和个性女孩米歇尔（赞达亚 Zendaya 饰）表白，谁知接连出现的元素怪兽打乱了他的表白计划。在这一过程中，与神盾局合作的神秘客（杰克·吉伦哈尔 Jake Gyllenhaal 饰）挺身而出，击退怪兽。自感不堪大任的彼得谢绝了尼克·弗瑞（塞缪尔·杰克逊 Samuel L. Jackson 饰），情愿将钢铁侠继承者的重任交到神秘客手中。令他意想不到的是，更可怕的危机接二连三袭来……
你的心会破碎,https://www.themoviedb.org/movie/1523145,2026-03-26,爱情,134,70,俄语,Mikhail Vaynberg,,,高中生波琳娜在新学校饱受欺凌，为了摆脱困境，她和校霸巴尔斯达成了一场交易：他假装成她的男友保护她，而她则对他言听计从。在这场假扮情侣的游戏中，两人渐渐动了真情，可她的家人和同学却千方百计想要拆散这对恋人。
爱的温暖,https://www.themoviedb.org/movie/1285366,2024-07-06,爱情,91,63,日语,今冈信治,,,电影讲述小说家半美高与发型师横泽里美相遇、从楼梯上摔下来并最终交换身体的故事。两人开始假装彼此，过着各自的生活，但 Takashi 的妻子 Yurina 与另一个男人偷偷有染，而女同性恋者 Satomi 则被同居伴侣 Maki 抛弃，因为她找到了另一个男人。
欲海暗涌,https://www.themoviedb.org/movie/1668364-deseo,2026-07-17,"悬疑,剧情",97,67,西班牙语,Teresa Simone,,,卢塞洛是一位事业成功的律师，表面上拥有完美的生活，却在与女儿年轻的游泳教练的一段婚外激情中逐渐沉沦。最初这段禁忌之情只是欲望的放纵，却很快演变成对她婚姻与事业脆弱平衡的威胁。随着悲剧的发生，她的世界分崩离析，对家人的爱也经受着严峻的考验。为了守护家人，卢塞洛将发现自己究竟愿意付出何种程度的代价。
迈克尔·杰克逊：巨星之路,https://www.themoviedb.org/movie/936075-michael,2026-04-23,"音乐,剧情",136,87,英语,安东尼·福奎阿,约翰·洛根,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。
嗜血牧师：感恩节大屠杀,https://www.themoviedb.org/movie/1569947-the-priest-thanksgiving-massacre,2025-08-08,恐怖,83,33,英语,Steve Lawson,Steve Lawson,The Thanksgiving offering.,一家人聚在一个与世隔绝的小屋里过感恩节，却不知道这个地方有着可怕的谋杀和食人历史，而且对此负有责任的牧师死后也不得安宁。现在，他们成了感恩节晚餐的菜单上的菜。
星球大战：曼达洛人与古古,https://www.themoviedb.org/movie/1228710-the-mandalorian-and-grogu,2026-05-21,"动作,冒险,科幻",132,75,英语,乔恩·费儒,"乔恩·费儒,Noah Kloor,戴夫·费罗尼","If you're searching for new adventure, ""this is the way.""",“曼达洛人”丁·贾伦和“尤达宝宝”古古的星际冒险全面升级，“此乃正道”的誓言响彻宇宙，原力将继续与你同在。
宇宙主宰,https://www.themoviedb.org/movie/1698856-master-of-the-universe,2026-05-22,"科幻,动作,奇幻",81,46,英语,Marcel Walz,Marc Gottlieb,He's the Man.,一个年轻人必须利用他未开发的力量，反击一个邪恶的外星人及其军队——他们不择手段要占领地球，进而征服整个宇宙。
火遮眼,https://www.themoviedb.org/movie/1280738,2026-06-11,"动作,犯罪,惊悚",113,73,汉语,谷垣健治,,无论付出什么代价，我都会找到我的女儿。,王伟的女儿被犯罪团伙绑架，而腐败的警方拒绝提供任何帮助。走投无路的他，独自展开血腥追捕，誓要救回女儿。他唯一的盟友是纳文——一名妻子神秘失踪、不屈不挠的记者。愤怒的复仇之火驱使着这对意想不到的搭档，在这场爆炸性的功夫对决中，他们对绑匪展开了无情的打击。[狮门影业]
