电影名,链接,上映时间,类型,时长,评分,语言,导演,作者,slogan,简介
蜘蛛侠3,https://www.themoviedb.org/movie/559-spider-man-3,2007-05-03,"动作,冒险,科幻",139,65,英语,山姆·雷米,,最大的敌人将是自己,蜘蛛侠在经历了重重考验之后，成为了人人敬仰的正义英雄，抱得美人归。但是，光环下的他也有自己的心病：他曾放走了小偷导致最亲爱的叔叔被小偷杀死，帕克一直耿耿于怀。生活顺意的帕克开始变得目中无人，当他再次抓到那个小偷时，残忍地看着他从楼上摔下致死，过后才发现自己惩罚错了人，真凶是“沙人”。当帕克将“沙人”残忍杀死后，帕克心内的阴暗面渐渐在帕克的身体内占据了上风，蜘蛛侠最终演变成邪恶的“毒蜘蛛”！糟糕的是，帕克没有察觉到自身的变化，帕克最终如何摆脱自身的邪恶？
复仇者联盟,https://www.themoviedb.org/movie/24428-the-avengers,2012-05-01,"科幻,动作,冒险",142,81,英语,乔斯·韦登,,群侠集结 终极一战,一股突如其来的强大邪恶势力对地球造成致命威胁，没有任何一个超级英雄能够单独抵挡。长期致力于保护全球安危的神盾局感到措手不及，其指挥官尼克·弗瑞意识到他必须创建一个“史上最强”的联盟组织， 云集各方超级英雄一起发威，才能拯救世界于水深火热，抵御黑暗势力的侵袭。于是由六大超级英雄——“钢铁侠”、“雷神” 、“美国队长”、“绿巨人” 、“黑寡妇”和“鹰眼”组成的 “复仇者联盟”应运而生。他们各显神通，团结一心，终于战胜了邪恶势力，保证了地球的安全。
疯狂动物城2,https://www.themoviedb.org/movie/1084242-zootopia-2,2025-11-27,"动画,冒险,喜剧,悬疑,家庭",108,77,英语,"贾里德·布什,拜恩·霍华德",贾里德·布什,他们带着一个转折回来了。,在成功侦破动物城历史上最重大的案件后，警官兔朱迪与狐尼克发现自己陷入了一个错综复杂的谜团之中。一只神秘爬行动物的到来，把温馨的动物城搅动得天翻地覆。面对全新的城市危机，朱迪与狐尼克将继续携手为保卫动物城而奔波。在追捕行动中，这对老搭档不仅要揭开新角色的神秘面纱，还要前往被迷雾笼罩的新领域，探索未知的地下黑市。一场疯狂动物城的全新冒险即将展开……
木乃伊,https://www.themoviedb.org/movie/1304313-lee-cronin-s-the-mummy,2026-04-16,"恐怖,悬疑",133,79,英语,李·克洛宁,李·克洛宁,What happened to Katie?,讲述一位记者的年幼女儿在沙漠中神秘失踪并音讯全无。八年后，当她突然出现在家人面前时，这个早已破碎的家庭震惊不已；原本应该是重逢的喜悦，却逐渐演变成一场活生生的恶梦。
桃源嬉春,https://www.themoviedb.org/movie/98894-jessica,1962-04-19,"喜剧,剧情,爱情",112,43,英语,"让·尼古拉斯科,Oreste Palella",,She's a Honeyhaired Dish of Dynamite - Who Explodes Joy On the Screen!,"影片讲述了美国女孩杰西卡（Jessica）来到意大利西西里岛的一个小镇担任助产护士。她年轻貌美且善良，很快赢得了当地男性的喜爱，但同时也引起了当地女性的嫉妒。为了赶走杰西卡，愤怒的女人们联合起来，拒绝与丈夫同床，导致小镇陷入了一场“性罢工”危机。,当地神父为了解决这一问题，努力劝说女人们恢复正常的夫妻生活，但收效甚微。与此同时，杰西卡在一场小镇姑娘的婚礼上邂逅了一位侯爵，并逐渐与他陷入热恋。随着杰西卡与侯爵关系的发展，小镇上的女性也逐渐意识到自己的行为过于偏激，最终危机自然化解。"
血腥鲨港,https://www.themoviedb.org/movie/1430698-the-bay,2026-07-17,"惊悚,恐怖",87,60,英语,Phil Volken,Phil Volken,Welcome to paradise.,艾玛与拉妮是一对挚友，两人结伴前往泰国参加目的地婚礼。出海游玩途中突发意外，她们被困在一艘持续下沉的观光船中，而船只所处的位置，恰好是虎鲨自然保护区的核心海域。随着船舱不断进水、逃生希望愈发渺茫，她们既要对抗不断逼近的海水，也要直面船外虎视眈眈的凶猛虎鲨，在狭小的密闭空间里争分夺秒寻找生路。
星际穿越,https://www.themoviedb.org/movie/157336-interstellar,2014-11-06,"冒险,剧情,科幻",169,85,英语,克里斯托弗·诺兰,"克里斯托弗·诺兰,乔纳森·诺兰",人类的下一步将迈向非凡！,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀接连在女儿墨菲的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德、罗米利、多伊尔搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……
暗影伊莉丝,https://www.themoviedb.org/movie/1487861-elize-sombras-de-uma-mulher,2026-07-22,"惊悚,犯罪,剧情",93,74,葡萄牙语,Vellas,"Raphael Montes,Mariana Torres",The truth behind a perfect marriage.,改编自伊莉丝·松永的真实案件，她动手杀害并肢解丈夫的尸体，震惊巴西上下。本片以虚构视角探究伊莉丝的故事，揭露一段混乱关系里的互动方式，以及又是哪些抉择导致这起骇人的罪案。
罗娜艳情录,https://www.themoviedb.org/movie/329505-il-peccato-di-lola,1984-05-04,"剧情,喜剧,恐怖",88,70,意大利语,Bruno Gaburro,Piero Regnoli,,"故事发生在偏僻的斯特普尔顿庄园，17 岁的阿尔伯特与司机安格斯被留在那里度过一个周末，除此之外，庄园里还有新来的女佣萝拉（多娜泰拉·达米亚妮 Donatella Damiani 饰）。某一天，萝拉注意到有人偷窥她的房间，于是她与阿尔伯特发生了他的第一次性体验。,　　当晚，萝拉的尸体被众人发现，阿尔伯特和安格斯共同埋葬了她。第二天，两人震惊的发现坟墓被挖开，并收到一封信，声称有人知道他们做了什么事。于是，阿尔伯特和安格斯开始怀疑彼此，并开始寻找谁可能目击了前一晚发生的事情的行动。然而，每次当他们接近真相时，都会遭遇新的干扰和挑战，使得他们更加困惑和不安。"
蜘蛛侠：平行宇宙,https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse,2018-12-06,"动画,动作,冒险,科幻",116,84,英语,"罗德尼·罗斯曼,彼得·拉姆齐,鲍勃·佩尔西凯蒂",,任何人都可以成为英雄。,《乐高大电影》和《龙虎少年队》的创作灵魂菲尔·罗德与克里斯托弗·米勒，将他们独特的才华注入一个全新的蜘蛛侠宇宙，开创了前所未见的突破性视觉风格。本片讲述了布鲁克林少年迈尔斯·莫拉莱斯（沙梅克·摩尔 配音）的冒险故事，并揭开了蜘蛛宇宙的无限可能——在那里，能够戴上英雄面具的远不止一人。[索尼影业]
她个人的地狱,https://www.themoviedb.org/movie/1469342-her-private-hell,2026-08-13,"科幻,恐怖,惊悚",109,54,英语,尼古拉斯·温丁·雷弗恩,,Revenge wears leather.,设定在未来的一座大都市，一群女演员聚集在一座豪华酒店，计划拍摄一部类似《太空英雌芭芭丽娜》的电影。与此同时，一个可憎的杀手“皮衣男/Leather Man”穿梭在城市中猎杀女人。
最后的日出,https://www.themoviedb.org/movie/1516698-the-last-sunrise,2026-08-26,"爱情,剧情",0,0,英语,,,Fall in love. Chase the sunrise. Live every moment like it's your last summer.,一位身患疾病的年轻美国女子在马略卡岛的夏日里度假时，与一位魅力十足的当地人意外坠入爱河，这让她不得不在追随内心、履行家庭责任以及按计划返回家园之间做出权衡。
庇护之地,https://www.themoviedb.org/movie/1290821-shelter,2026-02-17,"动作,犯罪,惊悚",108,78,英语,里克·罗曼·沃夫,Ward Parry,Her safety. His mission.,隐居孤岛的特工界黄金王牌迈克尔·梅森（杰森·斯坦森 饰）本想就此隔绝过往，一场风暴却让他救下少女杰茜（博德希·蕾·布里纳希 饰），命运的齿轮彻底反转……他们的行踪不慎暴露在严密的监控网络之下，神秘势力的追杀接踵而至，无路可退的梅森被迫重操旧业，携手少女开启生死突围之路。 面对顶尖特工小队和冷血杀手的轮番围剿，梅森一路火力全开：近身肉搏、飞车追逃、枪林弹雨，硬核爽战全程高能！随着追杀不断升级，层层阴谋被逐一揭开，互相防备的两人成为彼此唯一的依靠。当滔天阴谋席卷而来，他们能否冲破死局？这份绝境中的守护，又会成为铠甲还是软肋？
蜘蛛侠：纵横宇宙,https://www.themoviedb.org/movie/569094-spider-man-across-the-spider-verse,2023-06-01,"动画,动作,冒险,科幻",140,83,英语,"肯普·鲍尔斯,贾斯汀·K·汤普森,乔伊姆·多斯·桑托斯","菲尔·洛德,戴夫·卡拉汉姆,克里斯托弗·米勒",每个人都说这是蜘蛛侠注定的命运，但我要找到属于自己的路。,荣获奥斯卡奖的蜘蛛侠平行宇宙传奇迎来全新篇章。在这段史诗级冒险中，布鲁克林的全职邻家英雄蜘蛛侠迈尔斯·莫拉莱斯将穿越多元宇宙，与格温·史黛西及全新蜘蛛侠团队集结成军，直面前所未见的强大反派。[索尼影业]
河狸变身计划,https://www.themoviedb.org/movie/1327819-hoppers,2026-03-12,"冒险,动画,喜剧,家庭,科幻",99,82,英语,丹尼尔·钟,,表现得自然一点。,梅宝是一位对动物世界充满好奇的年轻女孩，她利用先进的意识上传技术，将自己的思维注入一只机械河狸体内。以这种独特的形态，梅宝结识了河狸王国的乔治国王等动物伙伴。然而，一个由房地产开发计划带来的威胁，正试图破坏动物们的栖息地。梅宝与她的新朋友们联手，利用机械河狸的能力和人类的智慧，共同对抗这个危机，守护动物们的家园。
饥饿河马,https://www.themoviedb.org/movie/1382832-hungry,2026-06-03,"惊悚,恐怖",93,72,英语,James Nunn,James Nunn,This hippo isn't playing games.,一群度假者在路易斯安那州的沼泽地迷路后，必须与一头横冲直撞、四处乱窜的河马展开殊死搏斗。
美国队长4,https://www.themoviedb.org/movie/822119-captain-america-brave-new-world,2025-02-13,"动作,惊悚,科幻",119,60,英语,朱利叶斯·约拿,,美国队长大战红浩克 惊天阴谋上演 世界秩序崩塌,能够展翅高飞的猎鹰山姆·威尔逊受史蒂夫·罗杰斯的信任所托，接过盾牌，正式成为美国队长。在与美国总统罗斯会面后，山姆发现自己被卷入了一场国际事件。他必须赶在真正的幕后黑手让全世界陷入混乱之前查明真相，揭露这起波及全球的阴谋。
奇幻变身大冒险,https://www.themoviedb.org/movie/1007757-swapped,2026-05-01,"冒险,动画,家庭,奇幻",102,89,英语,内森·格雷诺,,Transform your destiny.,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。
特洛伊,https://www.themoviedb.org/movie/652-troy,2004-05-14,"战争,动作,历史",184,72,英语,沃尔夫冈·彼得森,,For passion. For honor. For destiny. For victory. For love.,特洛伊王子帕里斯掳走斯巴达王后海伦，二人的恋情引发特洛伊战争。斯巴达国王墨涅拉奥斯蒙受奇耻，向兄长迈锡尼王阿伽门农求援。野心勃勃的阿伽门农借机出兵，意欲征服特洛伊扩张势力。特洛伊城防御坚固，在国王普里阿摩斯与王子赫克托耳镇守下难以攻克；希腊方能否破城，全系第一勇士阿喀琉斯。
孤军突围,https://www.themoviedb.org/movie/1594914-lucky-strike,2026-06-26,"动作,战争",102,74,英语,罗德·拉里,"罗德·拉里,Marc Frydman",One man's fight to survive.,取材于二战阿登突出部战役，一名负伤的美军士兵在德军反攻中和大部队失联，独自被困战火毁坏的比利时敌后区域。他仅依靠自身作战经验、基础单兵装备与一台损坏的无线电，全程躲避德军巡逻搜捕，在严寒荒野中艰难求生，想方设法联络己方部队。
复仇者联盟5：毁灭之日,https://www.themoviedb.org/movie/1003596-avengers-doomsday,2026-12-17,"科幻,动作,冒险",165,0,英语,,,,来自三个截然不同宇宙的传奇英雄们，将被推向一场生死对决，并最终直面一股前所未见、足以撼动万物存亡的终极威胁。
美国队长3,https://www.themoviedb.org/movie/271110-captain-america-civil-war,2016-05-05,"冒险,动作,科幻",148,75,英语,"安东尼·罗素,乔·罗素",,复仇者联盟决裂 存亡之战 全面爆发,美国队长史蒂夫·罗杰斯（克里斯·埃文斯 Chris Evans 饰）带领着全新组建的复仇者联盟，继续维护世界和平。然而，一次执行任务时联盟成员不小心造成大量平民伤亡，从而激发政治压力，政府决定通过一套监管系统来管理和领导复仇者联盟。联盟内部因此分裂为两派：一方由史蒂夫· 罗杰斯领导，他主张维护成员自由，在免受政府干扰的情况下保护世界；另一方则追随托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰），他令人意外地决定支持政府的监管和责任制体系。神秘莫测的巴基（塞巴斯蒂安·斯坦 Sebastian Stan 饰）似乎成为内战的关键人物……
蝙蝠侠：黑暗骑士,https://www.themoviedb.org/movie/155-the-dark-knight,2008-07-17,"动作,犯罪,惊悚",152,85,英语,克里斯托弗·诺兰,,黎明前的夜是最黑暗的！,蝙蝠侠在打击犯罪的战争中加大了赌注。在吉姆·戈登警长与地方检察官哈维·丹特的协助下，蝙蝠侠决心清除肆虐哥谭街头的残余犯罪组织。这一联手行动卓有成效，但他们很快发现自己沦为了一场混沌统治的猎物——这场混乱由一位新兴犯罪大师所掀动，惶恐的哥谭市民称他为“小丑”。[华纳兄弟影业]
星光继承者：暗黑仙境,https://www.themoviedb.org/movie/1318621-descendants-wicked-wonderland,2026-07-17,"电视电影,家庭,奇幻,冒险",98,76,英语,Kimmy Gatewood,"丹·弗雷,罗素·索默,Tamara Chestna","ONE BIG TROPHY, ONE BIG THREAT",红公主和克萝伊成功改写历史，阻止了红心皇后走上黑化之路。 以为就此迎来大团圆结局，没想到竟然催生出全新反派。 这次她们将与新伙伴携手合作，在重重危机之中拯救仙境。
侏罗纪世界：重生,https://www.themoviedb.org/movie/1234821-jurassic-world-rebirth,2025-07-02,"科幻,冒险,动作",134,63,英语,加里斯·爱德华斯,大卫·科普,一个新时代诞生了。,在《侏罗纪世界3》事件发生五年后，秘密行动专家佐拉·贝内特（Zora Bennett）受雇带领一支精锐小队，执行一项绝密任务——从全球体型最庞大的三种恐龙身上获取基因样本。然而，当佐拉的行动意外与一户平民家庭交汇时，局势急转直下：这家人原本正在进行一次海上航行，却遭遇船只倾覆，流落荒岛。如今，他们与佐拉的小队一同被困在这座神秘岛屿上，并共同面对一个被世人隐瞒了数十年的阴暗而惊人的秘密。
教父,https://www.themoviedb.org/movie/238-the-godfather,2022-02-25,"剧情,犯罪",175,87,英语,弗朗西斯·科波拉,,一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
盗梦空间,https://www.themoviedb.org/movie/27205-inception,2010-07-15,"动作,科幻,冒险",148,84,英语,克里斯托弗·诺兰,克里斯托弗·诺兰,你的梦境 就是 犯罪现场,道姆·柯布与同事阿瑟和纳什在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯，吸收了年轻的梦境设计师艾里阿德妮、梦境演员艾姆斯和药剂师约瑟夫加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔的处处破坏，实际情况远比预想危险得多……
捕风追影,https://www.themoviedb.org/movie/1419406,2025-08-16,"动作,犯罪,剧情,惊悚",141,79,汉语,杨子,杨子,他正在为一项危险任务训练新一代执法者，以从冷酷无情的罪犯手中拯救世界。,一伙天才盗匪劫走数亿资产，却凭借超强反侦察能力全身而退，戏耍警方“天眼”系统。一筹莫展之际，澳门司警局请回了隐退多年的跟踪专家黄德忠（成龙 饰），他培养年轻司警何秋果（张子枫 饰）等人，重组“神秘跟踪队”，最终锁定了盗匪团的幕后狼王傅隆生（梁家辉 饰）。当警方布下天罗地网之时，盗匪团也设下局中局，斗智斗勇斗心眼，一场高端猫鼠局拉开帷幕……
世界大战,https://www.themoviedb.org/movie/755898-war-of-the-worlds,2025-07-30,"科幻,惊悚",145,41,英语,Rich Lee,,Your data is deadly.,威尔·拉德福德是国土安全部的顶级网络安全分析师，他通过大规模监控项目追踪国家安全的潜在威胁。直到有一天，一个不明实体的攻击让他开始怀疑政府是否对他……以及世界其他地方隐瞒了什么。
神奇四侠：初露锋芒,https://www.themoviedb.org/movie/617126-the-fantastic-4-first-steps,2025-07-24,"科幻,冒险,动作",115,70,英语,马特·沙克曼,,Welcome to the family.,神奇先生、隐形女、霹雳火和石头人面对来自宇宙级威胁“行星吞噬者”及其使者“银影侠”对地球上所有生灵的威胁，四人必须在家庭羁绊与英雄使命间抉择，挺身而出接受这个前所未有的严峻挑战。更令人措手不及的是，这场关乎地球存亡的危机竟与他们有着意想不到的关联。
搏击俱乐部,https://www.themoviedb.org/movie/550-fight-club,1999-11-04,"剧情,惊悚",139,84,英语,大卫·芬奇,,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。
上吊的女人,https://www.themoviedb.org/movie/1631506-la-ahorcada,2026-04-22,恐怖,91,56,西班牙语,Miguel Ángel Lamata,,,故事围绕一名女子在前情人的花园里自杀展开，随后以幽灵的形式缠绕着他和他的家人
死侍与金刚狼,https://www.themoviedb.org/movie/533535-deadpool-wolverine,2024-07-25,"动作,喜剧,科幻",127,76,英语,肖恩·利维,"肖恩·利维,泽布·威尔斯,保罗·韦尼克,瑞安·雷诺兹,略特·里斯",天生一队 大银幕贱,史上最另类超级英雄、语不惊人死不休的死侍睽违六年终于重返大银幕，首次加入漫威电影宇宙！除了与一众昔日战友重新聚首，更与睽别15年的金刚狼二度并肩作战、再续兄弟情谊。直面时间变异管理局的追捕，迎战让人意想不到的神秘劲敌卡桑德拉·诺瓦。即便如此，死侍也毫不畏惧，自信满满地宣称自己就是“漫威救世主”，并将改写漫威电影宇宙！
女军医,https://www.themoviedb.org/movie/151024-la-soldatessa-alle-grandi-manovre,1978-12-07,喜剧,96,49,意大利语,Nando Cicero,"Nando Cicero,Annie Albert,Fiorenzo Fiorentini",,医生伊娃·马里尼（Eva Marini）在一个军事基地担任职务，调查这名意大利男士兵的性行为，很快发现她接受的比她预想的更多。
指环王3：王者无敌,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king,2003-12-18,"冒险,奇幻,动作",263,85,英语,彼得·杰克逊,,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
哈利·波特与魔法石,https://www.themoviedb.org/movie/671-harry-potter-and-the-philosopher-s-stone,2001-11-22,"冒险,奇幻",152,79,英语,克里斯·哥伦布,,魔法永恒,哈利·波特是一个孤儿，从小寄养在姨妈家，受尽欺凌。但就在哈利11岁生日的时候，他意外收到了霍格沃茨学院的入学通知书。哈利从该学院派来接他的巨人海格口中得知，这是一间魔法学院，并得知了自己的身世，原来哈利的父母都是伟大的魔法师，在对付伏地魔的战斗中双双献身，唯有哈利幸免于难。哈利进入霍格沃茨后，表现出了超乎想象的飞行天赋，得到麦格教授的推荐进入了格兰芬多的魁地奇球队。另一方面，哈利发现霍格沃茨学院内有一股黑暗势力似乎在暗暗滋长，揭开谜团的关键就在有凶恶的三头犬守护的房间内。哈利、罗恩和赫敏三个好朋友决定探个究竟。
复仇者联盟4：终局之战,https://www.themoviedb.org/movie/299534-avengers-endgame,2019-04-24,"冒险,科幻,动作",181,82,英语,"安东尼·罗素,乔·罗素",,逆转无限 不惜一切代价,几近绝望的复仇者们在惊奇队长的帮助下找到灭霸归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。五年后，迷失在量子领域的蚁人意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长冰释前嫌的托尼找到了穿越时空的方法，星散各地的超级英雄再度集结，他们将分别穿越不同的时代去搜集无限宝石。与此同此，平行宇宙的灭霸察觉了他们的计划。这是一场注定要载入史册的终局之战，超级英雄们为了心中恪守的信念前仆后继……
阿凡达,https://www.themoviedb.org/movie/19995-avatar,2010-08-26,"动作,科幻,冒险",162,76,英语,詹姆斯·卡梅隆,詹姆斯·卡梅隆,超越想象 新世界,杰克·萨利是一名身困轮椅的前海军陆战队员。尽管身躯残破，杰克内心仍是一名战士。他受招募前往数光年外的潘多拉星球人类前哨站——一家企业集团正在那里开采一种稀有矿物，这被认为是解决地球能源危机的关键。由于潘多拉的大气对人类有毒，他们启动了“阿凡达计划”，将人类“驾驶员”的意识与一具能在致命空气中存活的远程控制生物躯体“阿凡达”相连。这些阿凡达是通过人类DNA与潘多拉原住民纳威人的DNA混合基因工程培育的杂合体。以阿凡达之躯重生后，杰克得以再次行走。他奉命渗透纳威人，后者已成为开采珍贵矿石的主要障碍。但一位美丽的纳威女性妮特丽救了杰克的命，这改变了一切。杰克被她的部落接纳，学习成为他们的一员，历经诸多考验与冒险。随着杰克与这位不情愿的导师妮特丽的关系加深，他逐渐学会尊重纳威人的生活方式，并最终在他们之中找到了自己的位置。很快，他将面临终极考验，带领纳威人投入一场决定整个世界命运的史诗之战。[20世纪福克斯]
金谍行动,https://www.themoviedb.org/movie/1122573-in-the-grey,2026-05-15,"动作,惊悚",97,76,英语,盖·里奇,盖·里奇,"When billions get stolen, meet the pros who steal it back.",当一名冷酷无情的独裁者窃取了数十亿美元的巨额财富后，一支潜伏于暗影之中的精英特工小队受命夺回这笔巨款。这些特工游走于全球暗网，既能操控权谋博弈，亦精通爆破突袭。这场本已险象环生的惊天盗局却风云突变，最终升级为一场充斥着谋略、欺诈与生死较量的全面战争。
All That We Never Were,https://www.themoviedb.org/movie/1497463-todo-lo-que-nunca-fuimos,2026-06-05,"剧情,爱情",0,77,西班牙语,Jorge Alonso,Sara Belloso,,"19-year-old Leah navigates a coming-of-age journey in the wake of a tragic car accident that claims her parents. Relocated to a coastal town under the care of her brother’s best friend Axel, Leah grapples with grief, haunting nightmares and a fractured sense of self."
奥本海默,https://www.themoviedb.org/movie/872585-oppenheimer,2023-07-20,"剧情,历史",181,80,英语,克里斯托弗·诺兰,克里斯托弗·诺兰,世界永远改变。,亲临这部震撼全球的现象级巨制。克里斯托弗·诺兰编剧并执导的本片带领观众深入物理学家J·罗伯特·奥本海默（基里安·墨菲 饰）的内心世界，他在曼哈顿计划中的开创性工作催生了世界上第一颗原子弹。这场无与伦比的银幕盛宴汇聚全明星阵容，包括艾米莉·布朗特、奥斯卡奖得主马特·达蒙、奥斯卡奖提名者小罗伯特·唐尼、奥斯卡奖提名者弗洛伦丝·皮尤、乔什·哈奈特，以及奥斯卡奖得主凯西·阿弗莱克、拉米·马雷克与肯尼思·布拉纳。[环球影业]
零女特警2,https://www.themoviedb.org/movie/44980-zero-woman,1995-09-13,"动作,惊悚",99,50,日语,Daisuke Gotô,,,警视厅“0课”是一个被赋予杀人许可的极密特殊部门。主人公蕾（Rei）是该部门的一位干练女刑警。然而，无论执行多少次任务，蕾始终无法习惯这种夺人性命的工作。  此次，蕾接到的任务是夺回被黑帮组织持有、价值数十亿日元的股票券。她单枪匹马闯入敌营成功夺回股票，但转眼间又被另一伙流氓团伙抢走。就在危急关头，昔日的恋人兼同事贵岛前来支援……  作为警视厅内部唯一拥有公务杀人许可的特殊部门“0课”的女刑警，蕾受命夺回掌握在黑帮手中、以现任议员名义持有的数十亿股票券，故事由此展开……这是该系列的第二部作品。
末日逃生2：迁移,https://www.themoviedb.org/movie/840464-greenland-2-migration,2026-01-08,"冒险,惊悚,科幻",95,64,英语,里克·罗曼·沃夫,"克里斯·斯帕林,米切尔·拉福吉",Hope is uncharted territory.,由于宇宙中的两颗彗星正面撞击了地球，致使地表生态遭遇毁灭性打击，造成恶劣后果。全人类不得不躲藏在地堡中求得生存。身为科学家的加里蒂带着一家人劫后余生，幸存了下来。虽然他们躲过了第一波的冲击，但是他们所在的地堡中剩余的生活物资逐渐减少，其他幸存的人类也开始蠢蠢欲动。迫于压力这一家人必须离开格陵兰岛的安全掩体，开始踏上危险的旅程。在这一路上他们无奈的发现，整个欧洲已经被毁灭，变成了冰冻荒地。于是一家人只能再次被迫上路……
公民义警,https://www.themoviedb.org/movie/1413976-citizen-vigilante,2026-06-19,"惊悚,动作,犯罪",89,63,英语,乌维·鲍尔,乌维·鲍尔,An action film inspired by real events.,男主角桑德斯是一名义警，他追捕罪犯、伸张正义，成为社交媒体红人和公众眼中的英雄，但当地警察局长认为他是社会的威胁，打算将他打倒。
雷霆特攻队,https://www.themoviedb.org/movie/986056-thunderbolts,2025-05-01,"动作,科幻,冒险",127,73,英语,杰克·施莱尔,,没身份 没能力 不躺平 三流英雄 乱成一「团」,在《雷霆特攻队*》电影里，漫威组建了一支非常规的反英雄团队——叶莲娜·贝洛娃、巴基·巴恩斯、红色守卫者、幽灵、模仿大师和约翰·沃克。当他们发现自己陷入了瓦伦蒂娜·阿莱格拉·德拉方丹设置的死亡陷阱后，这些幻想破灭的弃儿必须执行一项危险的任务，这迫使他们将直面过去那些最黑暗的角落。最后他们是会分崩离析，还是会救赎自己并团结起来？
钢铁侠,https://www.themoviedb.org/movie/1726-iron-man,2008-04-30,"动作,科幻,冒险",126,77,英语,乔恩·费儒,,精钢战甲 打造正义不死身 万吨火力 粉碎全球危机,斯塔克军火公司是美军在全球范围内第一大军火供应商，其新任掌门人托尼·斯塔克风流倜傥，天资聪颖。他与公司元老俄巴迪亚·斯坦合作无间，共同将斯塔克公司的业务推向顶峰。现实生活中的托尼热衷收集名贵跑车，搞点儿发明创造，当然露水姻缘更不可少。所幸他身边有维吉尼亚·波茨这样的好助手细心打理一切，才让他能自由自在过着贵公子的生活。在前往中东为军方展示新型武器的途中，托尼一众遭到恐怖分子袭击。他被弹片击中险些丧命，在英森博士的帮助下，托尼体内移植了一颗核动力的人工心脏。恐怖分子要求托尼制造强大的杀伤性武器，他和英森虚与委蛇，暗中制造了一套由聚变能源驱动的钢铁盔甲。穿上盔甲托尼大闹恐怖分子的基地，回到美国后又对其进行了改进。却不知，接下来有更为黑暗的阴谋等着他……
